,sexC,ageC,raceC,MC,priors_count_C,c_charge_degree,decile_score,c_days_from_compas_C,juv_fel_count_C,juv_misd_count_C,juv_other_count_C,act,pred
2520,0,1,0,0,1,0,8,0,0,0,0,1,[1]
3721,0,1,0,0,0,0,4,0,0,0,0,1,[1]
5718,0,0,1,0,0,0,7,0,0,0,0,1,[1]
3052,1,1,0,0,0,0,6,0,0,0,0,1,[1]
2711,0,1,0,0,0,0,8,0,0,0,0,1,[1]
5645,0,1,0,0,2,0,7,0,0,0,0,1,[1]
4617,0,1,0,0,1,0,9,0,0,0,0,1,[1]
125,1,1,1,0,1,0,4,0,0,0,0,1,[1]
1988,0,1,0,0,0,0,10,0,0,0,0,1,[1]
3953,0,0,1,0,0,0,6,0,0,0,0,1,[1]
2427,1,1,0,0,0,0,6,0,0,0,0,1,[1]
870,0,1,0,0,0,0,7,0,0,0,0,1,[1]
1745,0,1,0,0,1,0,8,0,0,0,0,1,[1]
79,0,1,0,0,0,1,7,0,0,0,0,1,[1]
943,0,1,0,0,0,0,5,0,0,0,0,1,[1]
354,0,1,1,0,0,1,6,0,0,0,0,1,[1]
4942,0,2,0,0,1,1,1,0,0,0,0,1,[1]
5433,0,1,0,0,1,0,9,0,0,0,0,1,[1]
3349,0,1,0,0,0,1,9,0,0,0,0,1,[1]
5569,1,1,0,4,0,0,9,0,0,0,0,1,[1]
5880,1,1,1,0,0,0,5,0,0,0,0,1,[1]
4387,0,1,0,0,2,1,9,0,0,0,0,1,[1]
4028,0,1,0,0,0,0,9,0,0,0,0,1,[1]
2584,0,2,1,0,0,0,6,0,0,0,0,1,[1]
1495,0,1,2,0,0,1,5,0,0,0,0,1,[1]
3924,0,1,0,0,0,0,9,0,0,0,0,1,[1]
2157,0,1,0,0,0,0,6,0,0,0,0,1,[1]
4585,0,1,0,0,0,0,8,0,0,0,0,1,[1]
3698,0,1,0,0,0,0,8,0,1,0,0,1,[1]
1953,0,2,3,0,0,0,8,0,0,0,0,1,[1]
3599,0,1,0,0,0,0,6,0,0,0,0,1,[1]
5704,0,1,1,0,1,0,9,0,0,0,0,1,[1]
1958,0,1,2,0,0,0,4,0,0,0,0,1,[1]
1377,0,1,0,0,0,0,7,0,0,0,0,1,[1]
1404,0,1,0,0,1,0,10,0,0,0,0,1,[1]
3663,0,1,1,4,2,0,6,0,0,0,0,1,[1]
2098,0,1,0,0,0,0,7,0,0,0,0,1,[1]
5970,0,1,1,1,0,1,9,0,0,0,0,1,[1]
2897,0,1,0,0,0,0,8,0,0,0,0,1,[1]
4400,0,1,1,0,0,0,7,0,0,0,0,1,[1]
1122,0,1,0,0,0,0,7,0,0,0,0,1,[1]
555,0,1,0,0,0,0,6,0,0,0,0,1,[1]
2389,0,2,0,0,0,0,6,0,0,0,0,1,[1]
3903,0,1,3,4,0,0,3,0,0,0,0,1,[1]
136,0,1,0,0,1,0,6,0,0,0,0,1,[1]
2929,0,2,1,0,2,0,8,0,0,0,0,1,[1]
2594,0,2,0,2,1,1,6,0,0,0,0,1,[1]
2437,0,2,0,0,0,0,6,0,0,0,0,1,[1]
4214,0,2,0,0,0,0,8,0,0,0,0,1,[1]
3684,1,1,1,0,0,0,7,0,0,0,0,1,[1]
433,0,1,0,0,1,1,8,0,0,0,0,1,[1]
1155,0,1,0,0,0,0,7,0,0,0,0,1,[1]
1289,0,1,0,0,1,1,9,0,0,0,0,1,[1]
1951,0,1,0,0,0,0,8,0,0,0,0,1,[1]
5187,0,1,0,0,1,0,9,0,0,0,0,1,[1]
3646,0,1,0,0,1,0,9,0,0,0,0,1,[1]
28,0,1,0,0,0,0,10,0,0,0,0,1,[1]
5606,0,1,0,0,0,0,4,0,0,0,0,1,[1]
473,0,1,0,0,0,0,4,0,0,0,0,1,[1]
795,0,2,0,0,3,0,10,0,0,0,0,1,[1]
1790,0,1,1,0,0,1,8,0,0,0,0,1,[1]
248,0,0,0,0,0,0,8,0,0,0,0,1,[1]
5986,0,1,0,0,1,0,6,0,0,0,0,1,[1]
383,0,1,0,0,0,1,9,0,0,0,0,1,[1]
5058,0,0,0,0,0,0,7,0,0,0,0,1,[1]
2881,0,1,0,0,0,0,10,0,0,0,0,1,[1]
5914,0,1,0,0,0,0,7,0,0,0,0,1,[1]
545,0,1,0,0,1,0,7,0,0,0,0,1,[1]
1749,0,1,0,0,0,1,8,0,0,0,0,1,[1]
4675,0,1,0,0,0,0,7,0,0,0,0,1,[1]
3370,0,1,1,0,0,0,8,0,0,0,0,1,[1]
3679,0,1,0,0,1,0,9,0,0,0,0,1,[1]
3162,0,1,0,1,0,0,10,0,0,0,0,1,[1]
2990,0,1,1,0,0,0,9,0,0,0,0,1,[1]
573,0,2,0,0,2,0,5,0,0,0,0,1,[1]
4582,0,0,3,0,0,0,3,0,0,0,0,1,[1]
4822,0,1,0,0,1,0,8,0,0,0,0,1,[1]
44,0,1,0,4,1,0,8,0,0,0,0,1,[1]
4869,1,1,0,0,0,0,10,0,0,0,0,1,[1]
4185,0,1,0,0,0,0,10,0,0,0,0,1,[1]
4474,0,1,0,0,0,1,3,0,0,0,0,1,[1]
2319,0,0,3,0,0,1,9,0,0,0,0,1,[1]
3854,0,0,0,0,0,0,5,0,0,0,0,1,[1]
3636,0,1,0,0,0,0,7,0,0,0,0,1,[1]
5324,0,1,0,0,1,0,10,0,0,0,0,1,[1]
1437,0,1,0,0,0,0,9,0,0,0,0,1,[1]
2262,1,1,0,4,1,1,7,0,0,0,0,1,[1]
2578,0,2,0,0,3,0,9,0,0,0,0,1,[1]
1370,0,1,0,6,1,0,6,0,0,0,0,1,[1]
5448,0,1,0,0,0,1,10,9,0,0,0,1,[1]
4049,0,1,0,0,0,0,5,0,0,0,0,1,[1]
4879,0,1,0,1,0,1,2,0,0,0,0,1,[1]
1179,0,1,0,0,1,0,9,0,0,0,0,1,[1]
3878,0,1,0,0,0,1,3,0,0,0,0,1,[1]
1385,0,2,0,0,1,1,4,0,0,0,0,1,[1]
5498,0,2,0,5,1,0,7,0,0,0,0,1,[1]
4749,0,1,0,0,0,0,10,0,0,0,0,1,[1]
3126,0,2,0,0,1,0,6,0,0,0,0,1,[1]
4414,0,1,1,0,0,0,9,0,0,0,0,1,[1]
4908,0,1,0,0,0,0,8,0,0,0,0,1,[1]
5832,0,1,0,0,1,1,6,0,0,0,0,1,[1]
1794,1,1,0,0,0,1,3,0,0,0,0,1,[1]
5758,0,1,0,0,2,0,9,0,0,0,0,1,[1]
2438,0,1,0,0,1,0,5,0,0,0,0,1,[1]
5605,0,1,3,0,0,0,8,0,0,0,0,1,[1]
1064,0,1,0,0,0,1,3,0,0,0,0,1,[1]
4846,0,1,0,0,1,0,9,0,0,0,0,1,[1]
3976,0,1,2,5,0,0,1,0,0,0,0,1,[1]
503,0,1,0,0,0,1,3,0,0,0,0,1,[1]
5213,0,1,2,0,0,0,5,0,0,0,0,1,[1]
331,0,1,0,0,1,0,9,0,0,0,0,1,[1]
3230,0,1,0,0,0,0,10,0,0,0,0,1,[1]
4954,0,1,0,0,0,0,5,0,0,0,0,1,[1]
4899,0,1,0,0,3,1,10,0,0,1,0,1,[1]
5424,0,1,0,0,0,0,6,0,0,0,0,1,[1]
2247,0,1,1,1,0,1,8,0,0,0,0,1,[1]
5083,0,1,0,4,2,0,7,0,0,0,0,1,[1]
2463,0,0,0,0,0,0,4,0,0,0,0,1,[1]
366,0,1,0,0,0,0,8,0,0,0,0,1,[1]
3234,1,1,0,0,0,1,3,0,0,0,0,1,[1]
2644,0,1,0,0,1,0,10,0,0,0,0,1,[1]
5047,0,1,0,4,0,1,2,0,0,0,0,1,[1]
724,1,2,0,0,2,0,10,0,0,0,0,1,[1]
1967,0,1,0,0,1,0,6,0,0,0,0,1,[1]
5760,0,1,2,0,0,0,6,0,0,0,0,1,[1]
407,0,2,0,0,2,1,7,0,0,0,0,1,[1]
552,0,1,1,0,1,0,6,0,0,0,0,1,[1]
4506,0,1,0,0,0,0,8,0,0,0,0,1,[1]
3422,0,1,0,0,0,0,4,0,0,0,0,1,[1]
4147,0,2,0,0,0,0,5,0,0,0,0,1,[1]
1615,1,1,1,0,0,0,6,0,0,0,0,1,[1]
5149,0,1,1,0,0,0,6,0,0,0,0,1,[1]
2653,0,1,1,0,0,0,8,0,0,0,0,1,[1]
115,0,1,0,0,2,0,10,0,0,0,0,1,[1]
101,0,1,1,0,0,1,4,0,0,0,0,1,[1]
1331,0,1,0,0,2,0,10,0,0,0,0,1,[1]
1399,0,2,1,1,0,1,2,9,0,0,0,1,[1]
4637,0,1,0,0,0,0,6,0,0,0,0,1,[1]
2048,0,1,0,0,0,0,9,0,0,0,0,1,[1]
623,0,1,0,0,0,0,4,0,0,0,0,1,[1]
5706,0,1,0,0,1,0,9,0,0,0,0,1,[1]
2534,0,1,0,1,0,0,3,1,0,0,0,1,[1]
4870,0,1,1,0,0,1,7,0,0,0,0,1,[1]
2358,0,1,1,0,0,0,6,0,0,0,0,1,[1]
2407,0,2,0,1,0,1,9,0,0,0,0,1,[1]
4078,1,1,1,1,1,0,6,0,0,0,0,1,[1]
2941,0,1,0,0,1,1,6,0,0,0,0,1,[1]
4904,0,1,0,0,0,1,9,0,0,0,0,1,[1]
3251,0,2,0,0,1,1,4,0,0,0,0,1,[1]
2491,0,2,0,0,0,0,7,0,0,0,0,1,[1]
259,0,3,0,5,1,0,6,0,0,0,0,1,[1]
2577,0,2,1,0,0,0,6,0,0,0,0,1,[1]
927,0,1,0,0,0,1,7,0,0,0,0,1,[1]
5452,1,0,0,0,0,1,7,0,0,0,0,1,[1]
81,0,1,0,0,1,0,7,0,0,0,0,1,[1]
1342,0,1,0,0,0,0,8,0,0,0,0,1,[1]
416,1,1,0,0,0,0,10,0,0,0,0,1,[1]
3434,0,1,0,0,0,0,8,0,0,0,0,1,[1]
1309,0,1,0,0,0,0,4,0,0,0,0,1,[1]
3196,0,1,0,0,1,0,9,0,1,0,0,1,[1]
4893,0,1,0,0,0,0,6,0,0,0,0,1,[1]
3361,0,0,3,0,0,1,2,0,0,0,0,1,[1]
5306,0,1,0,0,0,0,10,0,0,0,0,1,[1]
5186,1,1,1,0,0,0,6,0,0,0,0,1,[1]
3741,1,1,0,0,1,0,10,0,0,0,0,1,[1]
2023,0,2,1,0,0,0,6,0,0,0,0,1,[1]
447,0,1,0,2,1,0,7,0,0,0,0,1,[1]
1011,0,1,0,0,0,0,8,0,0,0,0,1,[1]
1515,0,1,0,0,1,0,10,0,0,0,0,1,[1]
325,0,1,3,0,0,0,2,0,0,0,0,1,[1]
1513,0,2,1,0,1,0,7,0,0,0,0,1,[1]
4642,0,1,0,0,0,1,9,0,0,0,0,1,[1]
3957,0,1,0,0,2,0,10,0,0,0,0,1,[1]
2128,1,1,0,0,1,1,8,0,0,0,0,1,[1]
929,0,1,0,4,0,1,2,0,0,0,0,1,[1]
2640,0,1,0,0,1,1,6,0,0,0,0,1,[1]
3530,0,2,2,0,0,1,1,9,0,0,0,1,[1]
82,0,1,1,0,0,0,8,0,0,0,0,1,[1]
1676,0,1,0,0,0,0,8,0,0,0,0,1,[1]
846,0,1,2,0,0,0,6,0,0,0,0,1,[1]
1410,0,1,0,0,0,1,3,0,0,0,0,1,[1]
1081,1,1,2,0,0,0,3,0,0,0,0,1,[1]
5491,0,1,0,0,2,1,6,0,0,0,0,1,[1]
4936,0,1,0,0,0,0,9,0,0,0,0,1,[1]
2624,0,1,0,5,3,0,10,0,0,0,0,1,[1]
342,0,1,0,0,0,1,10,0,0,0,0,1,[1]
2451,0,1,0,0,1,0,8,0,0,0,0,1,[1]
993,0,2,0,0,2,0,10,0,0,0,0,1,[1]
3015,1,1,1,0,1,0,7,0,0,0,0,1,[1]
2634,0,1,0,0,0,1,8,0,0,0,0,1,[1]
3211,0,2,0,0,0,1,6,0,0,0,0,1,[1]
3257,0,1,0,0,0,0,4,0,0,0,0,1,[1]
4912,0,1,0,0,1,1,3,0,0,0,0,1,[1]
3420,0,1,0,0,1,0,9,0,0,0,0,1,[1]
1832,0,1,0,1,0,1,2,1,0,0,0,1,[1]
3670,1,1,1,0,0,0,7,0,0,0,0,1,[1]
5879,0,2,1,1,0,1,5,0,0,0,0,1,[1]
1117,0,1,0,0,1,0,8,0,0,0,0,1,[1]
2336,0,1,0,0,0,0,6,0,0,0,0,1,[1]
2583,0,1,1,0,0,0,6,0,0,0,0,1,[1]
3405,1,1,0,0,0,0,6,0,0,0,0,1,[1]
3600,0,2,0,0,1,0,6,0,0,0,0,1,[1]
2360,0,1,0,0,0,0,8,0,0,0,0,1,[1]
4776,0,1,0,0,0,0,10,0,0,0,0,1,[1]
3672,0,1,2,0,0,0,5,0,0,0,0,1,[1]
5320,0,1,0,0,0,0,10,0,0,0,0,1,[1]
3396,0,1,0,0,0,0,5,0,0,0,0,1,[1]
5675,0,1,2,0,0,0,4,0,0,0,0,1,[1]
4934,0,0,0,0,0,0,4,0,0,0,0,1,[1]
1242,0,1,0,6,0,0,9,0,0,0,0,1,[1]
2742,0,1,0,0,0,0,9,0,0,0,0,1,[1]
5473,0,1,1,0,0,0,9,0,0,0,0,1,[1]
1653,0,1,0,0,1,0,6,0,0,0,0,1,[1]
589,0,1,2,0,0,0,5,0,0,0,0,1,[1]
4694,0,1,0,0,0,0,8,0,0,0,0,1,[1]
313,0,2,1,0,4,0,6,0,0,0,0,1,[1]
3306,0,1,1,0,0,0,9,0,0,0,0,1,[1]
3076,0,1,0,0,0,0,8,0,0,0,0,1,[1]
5888,1,1,0,0,0,0,10,0,0,0,0,1,[1]
2316,0,1,0,0,0,0,7,0,0,0,0,1,[1]
5135,0,1,3,0,1,0,8,0,0,0,0,1,[1]
4552,0,1,0,0,0,1,3,0,0,0,0,1,[1]
3897,0,1,0,0,0,0,10,0,0,0,0,1,[1]
4035,0,2,0,0,1,1,5,0,0,0,0,1,[1]
67,0,1,1,0,0,0,6,0,0,0,0,1,[1]
2116,0,2,2,0,1,0,7,0,0,0,0,1,[1]
4553,0,1,0,0,2,1,6,0,0,0,0,1,[1]
5835,1,1,1,0,0,0,6,0,0,0,0,1,[1]
238,0,1,1,2,1,0,7,0,0,0,0,1,[1]
2497,0,1,2,0,2,0,6,0,0,0,0,1,[1]
4099,0,2,0,0,1,0,5,0,0,0,0,1,[1]
5858,0,1,0,2,1,0,7,0,0,0,0,1,[1]
2889,0,1,1,0,0,0,7,0,0,0,0,1,[1]
5866,0,2,0,0,1,0,3,0,0,0,0,1,[1]
3169,1,1,0,0,0,0,6,0,0,0,0,1,[1]
5968,0,1,0,0,0,0,5,0,0,0,0,1,[1]
5011,0,1,0,0,1,0,9,0,0,0,0,1,[1]
779,0,1,0,0,1,0,7,0,0,0,0,1,[1]
5969,0,0,0,0,0,0,8,0,0,0,0,1,[1]
3259,0,1,1,0,1,0,9,0,0,0,0,1,[1]
1971,0,1,0,4,0,0,5,0,0,0,0,1,[1]
1304,0,2,1,0,2,0,6,0,0,0,0,1,[1]
4346,0,1,0,0,0,1,8,0,0,0,0,1,[1]
1655,0,2,0,0,1,0,9,0,0,0,0,1,[1]
4397,0,1,0,0,1,0,9,0,0,0,0,1,[1]
3183,0,1,0,0,0,0,9,0,0,0,0,1,[1]
4914,0,1,0,0,0,1,3,0,0,0,0,1,[1]
3983,0,1,0,0,1,0,10,0,0,0,0,1,[1]
2632,0,1,0,0,1,0,6,0,0,0,0,1,[1]
3271,0,1,0,0,0,0,8,0,0,0,0,1,[1]
1424,0,1,0,0,1,1,10,0,0,0,0,1,[1]
2573,0,1,0,0,1,1,10,0,0,0,0,1,[1]
367,0,1,0,0,0,0,9,0,0,0,0,1,[1]
5984,0,1,1,0,0,0,8,0,0,0,0,1,[1]
2229,0,0,1,0,0,0,6,0,0,0,0,1,[1]
98,0,2,0,0,1,0,9,0,0,0,0,1,[1]
5098,0,1,0,0,2,0,8,0,0,1,0,1,[1]
1714,0,1,3,0,3,0,10,0,3,0,0,1,[1]
5981,0,1,1,0,0,0,7,0,0,0,0,1,[1]
4393,0,1,0,0,0,0,10,0,0,0,0,1,[1]
2361,0,2,0,0,2,1,10,0,0,0,0,1,[1]
2362,0,1,0,0,0,0,6,0,0,0,0,1,[1]
3220,0,1,0,0,0,0,10,0,0,0,0,1,[1]
3391,1,1,0,0,0,0,9,0,0,0,0,1,[1]
1546,0,1,1,2,1,0,6,0,0,0,0,1,[1]
1381,0,1,0,0,0,0,5,0,0,0,0,1,[1]
2399,0,1,0,0,0,0,5,0,0,0,0,1,[1]
2379,0,1,0,0,2,0,10,0,0,0,0,1,[1]
3355,0,2,1,0,2,0,9,0,0,0,0,1,[1]
1159,1,1,0,0,0,1,3,0,0,0,0,1,[1]
4177,1,1,3,1,0,1,7,0,0,0,0,1,[1]
5860,0,1,0,4,0,0,8,0,0,0,0,1,[1]
2603,0,0,0,0,0,0,10,0,0,0,0,1,[1]
2961,0,1,0,0,1,0,8,0,0,0,0,1,[1]
3641,0,1,1,0,0,1,5,0,0,0,0,1,[1]
4835,0,1,1,0,0,0,8,0,0,0,0,1,[1]
2289,0,1,1,0,1,0,7,0,0,0,0,1,[1]
2874,0,1,1,0,0,1,7,0,0,0,0,1,[1]
5910,0,1,0,0,2,0,8,0,0,0,0,1,[1]
575,0,1,0,0,1,0,10,0,0,0,0,1,[1]
4865,0,1,3,0,0,0,8,0,0,0,0,1,[1]
639,0,1,3,0,0,1,9,0,0,0,0,1,[1]
1554,0,1,0,0,0,0,5,0,0,0,0,1,[1]
1657,0,1,1,0,0,0,8,0,0,0,0,1,[1]
5904,0,1,0,0,1,0,7,0,0,0,0,1,[1]
513,0,1,1,0,1,1,10,0,0,0,0,1,[1]
4796,0,1,0,0,0,0,7,0,0,0,0,1,[1]
3249,0,1,3,0,0,1,2,0,0,0,0,1,[1]
432,0,0,3,0,0,0,8,0,0,0,0,1,[1]
3194,0,0,0,0,0,0,9,0,0,0,0,1,[1]
1817,0,1,0,0,1,0,7,0,0,0,0,1,[1]
108,0,1,0,5,3,0,8,0,0,2,0,1,[1]
517,0,1,0,0,0,0,9,0,0,0,0,1,[1]
5304,0,1,0,0,0,0,4,0,0,0,0,1,[1]
3985,0,1,0,0,1,0,9,0,0,0,0,1,[1]
3178,0,1,2,0,0,1,10,9,0,0,0,1,[1]
4962,0,1,0,0,1,0,8,0,0,0,0,1,[1]
2159,0,1,0,0,3,0,10,0,0,0,0,1,[1]
808,0,0,0,0,0,1,7,0,0,0,0,1,[1]
5281,0,1,0,0,0,0,8,0,0,0,0,1,[1]
5497,0,2,1,1,0,1,4,0,0,0,0,1,[1]
3295,0,1,0,0,0,0,8,0,0,0,0,1,[1]
5696,0,1,1,0,1,0,7,0,0,0,0,1,[1]
701,0,1,0,0,0,0,9,0,0,0,0,1,[1]
4955,0,0,0,0,0,0,9,0,0,0,0,1,[1]
4921,0,1,2,0,0,0,2,0,0,0,0,1,[1]
2838,1,1,0,0,0,0,6,0,0,0,0,1,[1]
1723,0,1,0,0,1,0,10,0,0,0,0,1,[1]
94,0,1,1,0,1,0,6,0,0,0,0,1,[1]
5162,0,0,0,0,0,0,10,0,0,0,0,1,[1]
2039,1,2,3,0,1,0,10,0,0,0,0,1,[1]
1078,0,1,0,0,1,0,9,0,0,0,0,1,[1]
5398,0,1,0,0,0,0,8,0,0,0,0,1,[1]
349,0,1,0,0,0,0,10,0,0,0,0,1,[1]
244,0,1,2,0,0,0,6,0,0,0,0,1,[1]
3712,0,1,0,0,0,1,3,0,0,0,0,1,[1]
711,0,1,0,0,0,0,10,0,0,0,0,1,[1]
3588,0,1,1,0,1,0,6,0,0,0,0,1,[1]
2318,0,2,0,0,1,0,1,0,0,0,0,1,[1]
600,0,0,0,0,0,0,9,0,0,0,0,1,[1]
3539,0,1,0,0,0,0,9,0,0,0,0,1,[1]
1764,0,1,0,1,0,1,2,0,0,0,0,1,[1]
4574,0,1,1,0,0,0,8,0,0,0,0,1,[1]
5819,1,1,0,0,0,0,9,0,0,0,0,1,[1]
1379,0,1,0,0,0,0,7,0,0,0,0,1,[1]
563,0,1,0,0,0,0,8,0,0,0,0,1,[1]
4733,0,1,2,0,0,0,5,0,0,0,0,1,[1]
1163,0,1,0,0,0,0,6,0,0,0,0,1,[1]
839,0,1,0,0,0,0,10,0,0,0,0,1,[1]
5607,0,0,3,0,0,0,9,0,0,0,0,1,[1]
3105,0,1,1,0,0,1,4,0,0,0,0,1,[1]
4084,0,1,0,0,0,0,6,0,0,0,0,1,[1]
5717,0,1,1,0,0,0,9,0,0,0,1,1,[1]
5152,1,1,0,0,0,0,6,0,0,0,0,1,[1]
2950,0,1,0,0,0,0,4,0,0,0,0,1,[1]
1750,0,1,1,0,1,1,7,0,0,0,0,1,[1]
5188,0,1,0,4,1,1,6,0,0,0,0,1,[1]
796,0,1,0,0,0,1,7,0,0,0,0,1,[1]
4371,1,1,1,0,0,0,9,0,0,0,0,1,[1]
1271,0,1,1,0,0,0,7,0,0,0,0,1,[1]
610,1,2,1,0,0,1,4,0,0,0,0,1,[1]
3834,0,1,0,0,0,0,6,0,0,0,0,1,[1]
5817,0,1,0,0,1,0,6,0,0,0,0,1,[1]
4495,0,1,0,0,0,0,6,0,0,0,0,1,[1]
5390,0,1,0,0,0,0,4,0,0,0,0,1,[1]
4945,0,1,0,0,0,0,7,0,0,0,0,1,[1]
2651,0,1,0,0,2,0,9,0,0,0,0,1,[1]
100,0,1,0,0,0,0,9,0,0,0,0,1,[1]
4567,0,1,0,0,0,0,6,0,0,0,0,1,[1]
3821,0,1,0,4,2,0,10,0,0,0,0,1,[1]
3019,0,1,0,4,0,1,3,0,0,0,0,1,[1]
3819,0,1,1,0,0,0,9,0,0,0,0,1,[1]
4925,1,1,1,0,0,0,7,0,0,0,0,1,[1]
1463,1,1,0,0,0,1,7,0,0,0,0,1,[1]
3239,0,1,0,0,3,0,8,0,0,0,0,1,[1]
4325,0,2,0,1,0,1,5,0,0,0,0,1,[1]
2045,0,1,1,0,0,1,7,0,0,0,0,1,[1]
4880,0,0,0,0,0,0,8,0,0,0,0,1,[1]
3987,0,1,0,0,0,1,10,0,0,0,0,1,[1]
2326,0,1,0,0,0,0,4,0,0,0,0,1,[1]
4485,0,1,0,0,0,0,8,0,0,0,0,1,[1]
3223,0,1,0,0,2,0,10,0,0,0,0,1,[1]
5337,0,1,2,0,1,0,9,0,0,0,0,1,[1]
4668,1,1,0,0,0,1,7,0,0,0,0,1,[1]
5892,0,1,0,0,2,0,9,0,0,0,0,1,[1]
5609,0,1,0,0,2,1,4,0,0,0,0,1,[1]
3135,0,1,2,0,1,0,9,0,0,0,0,1,[1]
2068,0,2,1,0,1,0,7,0,0,0,0,1,[1]
57,0,1,0,0,1,0,10,0,0,0,0,1,[1]
1851,0,0,1,0,0,0,5,0,0,0,0,1,[1]
1528,0,1,0,0,0,0,5,0,0,0,0,1,[1]
2328,0,2,1,0,0,0,8,0,0,0,0,1,[1]
2402,1,1,0,0,0,1,8,0,0,0,0,1,[1]
2155,0,1,0,0,2,0,10,0,0,0,0,1,[1]
1891,0,1,0,0,1,0,8,0,0,0,0,1,[1]
2722,0,1,3,0,1,0,7,0,0,0,0,1,[1]
1077,0,1,0,0,0,0,6,0,0,0,0,1,[1]
1637,0,1,0,0,0,1,3,0,0,0,0,1,[1]
2812,0,1,1,0,0,0,8,0,0,0,0,1,[1]
4052,0,1,0,0,2,0,8,0,0,0,0,1,[1]
5323,0,1,0,0,0,0,7,0,0,0,0,1,[1]
1990,1,1,0,0,0,1,8,0,0,0,0,1,[1]
1793,0,1,0,1,2,0,9,0,0,0,0,1,[1]
3639,0,1,1,0,0,1,8,0,0,0,0,1,[1]
232,0,1,0,0,3,0,8,0,0,0,0,1,[1]
1248,0,1,0,0,0,0,8,0,0,0,0,1,[1]
4580,0,1,1,0,0,0,8,0,0,0,0,1,[1]
3023,0,1,0,0,0,1,8,0,0,0,0,1,[1]
1045,0,1,0,0,0,0,6,0,0,0,0,1,[1]
448,1,1,0,0,0,0,9,0,0,0,0,1,[1]
453,0,0,0,0,0,0,10,0,0,0,0,1,[1]
2382,0,1,0,0,0,0,7,0,0,0,0,1,[1]
5425,0,1,0,0,2,0,8,0,0,0,0,1,[1]
1021,0,2,0,0,1,0,3,0,0,0,0,1,[1]
5033,0,1,1,0,0,0,9,0,0,0,0,1,[1]
1268,0,1,0,1,0,1,5,0,0,0,0,1,[1]
1457,0,1,0,0,0,0,6,0,0,0,0,1,[1]
5055,0,1,1,1,0,0,7,0,0,0,0,1,[1]
4696,1,0,0,0,0,0,6,0,0,0,0,1,[1]
2150,0,1,0,5,0,1,2,0,0,0,0,1,[1]
4198,0,1,0,0,2,0,10,0,0,0,0,1,[1]
3774,0,1,1,0,1,0,8,0,0,0,0,1,[1]
2543,0,1,1,0,0,0,6,0,0,0,0,1,[1]
5232,0,2,1,0,0,0,8,0,0,0,0,1,[1]
3384,0,1,0,0,0,0,6,0,0,0,0,1,[1]
165,0,1,2,0,1,0,9,0,0,0,0,1,[1]
2720,0,2,2,0,2,0,10,0,0,0,0,1,[1]
2287,0,1,0,0,0,0,6,0,0,0,0,1,[1]
2164,0,1,0,0,1,0,8,0,0,0,0,1,[1]
2654,0,1,1,0,0,0,8,0,0,0,0,1,[1]
2916,0,1,0,0,0,0,9,0,0,0,0,1,[1]
2743,0,1,0,1,0,1,3,0,0,0,0,1,[1]
1435,0,1,1,0,0,0,7,0,0,0,0,1,[1]
3709,0,1,0,0,0,1,7,0,0,0,0,1,[1]
5381,0,1,0,0,0,0,7,0,0,0,0,1,[1]
5915,0,1,0,0,1,1,7,0,0,0,0,1,[1]
4380,0,1,0,0,0,1,3,0,0,0,0,1,[1]
1634,0,1,0,0,0,0,6,0,0,0,0,1,[1]
3491,0,1,3,0,1,0,8,0,0,0,0,1,[1]
5831,0,1,0,0,1,0,6,0,0,0,0,1,[1]
2440,1,2,1,0,0,0,3,0,0,0,0,1,[1]
1228,0,1,1,0,0,0,8,0,0,0,0,1,[1]
579,0,1,1,0,0,0,6,0,0,0,0,1,[1]
19,0,1,0,0,0,0,9,0,0,0,0,1,[1]
2878,0,1,0,0,0,1,10,0,0,0,0,1,[1]
